5755	10000
9	19	1.0
9	28	1.0
9	41	1.0
9	42	1.0
9	48	1.0
9	50	1.0
9	59	1.0
9	67	1.0
9	70	1.0
9	84	1.0
9	89	1.0
9	97	1.0
9	101	1.0
9	274	1.0
9	484	1.0
9	857	1.0
9	2494	1.0
9	3142	1.0
10	0	2.0
10	1	1.0
10	2	1.0
10	8	1.0
10	10	1.0
10	11	1.0
10	12	1.0
10	25	1.0
10	28	1.0
10	37	1.0
10	39	1.0
10	40	1.0
10	51	1.0
10	55	1.0
10	65	1.0
10	69	1.0
10	74	1.0
10	79	1.0
10	90	1.0
10	114	1.0
10	125	1.0
10	503	1.0
10	995	1.0
10	1906	1.0
10	5780	1.0
10	7049	1.0
10	7331	1.0
11	1	1.0
11	2	1.0
11	4	1.0
11	7	1.0
11	8	1.0
11	9	1.0
11	12	1.0
11	13	1.0
11	14	1.0
11	24	1.0
11	28	1.0
11	39	1.0
11	40	1.0
11	41	1.0
11	48	1.0
11	51	1.0
11	59	1.0
11	67	1.0
11	70	1.0
11	74	1.0
11	89	1.0
11	90	1.0
11	274	1.0
11	484	1.0
11	503	1.0
11	857	1.0
11	2494	1.0
11	3142	1.0
11	5780	1.0
11	7049	1.0
11	7331	1.0
12	0	1.0
12	1	1.0
12	2	1.0
12	3	1.0
12	5	1.0
12	6	1.0
12	8	1.0
12	11	1.0
12	12	1.0
12	13	1.0
12	25	1.0
12	29	1.0
12	34	1.0
12	35	1.0
12	50	1.0
12	76	1.0
12	82	1.0
12	85	1.0
12	94	1.0
12	114	1.0
12	125	1.0
12	373	1.0
12	434	1.0
12	504	1.0
12	995	1.0
12	1906	1.0
12	5773	1.0
12	6381	1.0
12	8944	1.0
13	0	2.0
13	1	1.0
13	2	1.0
13	3	1.0
13	4	1.0
13	5	1.0
13	6	1.0
13	7	1.0
13	9	1.0
13	10	1.0
13	11	1.0
13	18	1.0
13	19	1.0
13	55	1.0
13	61	1.0
13	77	1.0
13	78	1.0
13	86	1.0
13	98	1.0
13	124	1.0
13	305	1.0
13	324	1.0
13	665	1.0
13	1277	1.0
13	4099	1.0
13	4447	1.0
13	4670	1.0
13	9381	1.0
13	9564	1.0
14	1	1.0
14	2	1.0
14	3	1.0
14	4	1.0
14	5	1.0
14	6	1.0
14	13	2.0
14	18	1.0
14	19	1.0
14	24	1.0
14	29	1.0
14	34	1.0
14	35	1.0
14	50	1.0
14	61	1.0
14	76	1.0
14	77	1.0
14	82	1.0
14	86	1.0
14	114	1.0
14	125	1.0
14	504	1.0
14	665	1.0
14	995	1.0
14	1906	1.0
14	4099	1.0
14	4447	1.0
14	4670	1.0
14	5773	1.0
14	6381	1.0
15	1	1.0
15	2	1.0
15	3	1.0
15	4	1.0
15	5	1.0
15	6	1.0
15	7	1.0
15	9	1.0
15	14	1.0
15	18	1.0
15	19	1.0
15	41	2.0
15	48	1.0
15	59	1.0
15	61	1.0
15	67	1.0
15	70	1.0
15	77	1.0
15	86	1.0
15	89	1.0
15	104	1.0
15	274	1.0
15	484	1.0
15	665	1.0
15	857	1.0
15	2494	1.0
15	3142	1.0
15	4099	1.0
15	4447	1.0
15	4670	1.0
16	0	1.0
16	1	1.0
16	2	1.0
16	4	1.0
16	7	1.0
16	8	1.0
16	9	1.0
16	11	1.0
16	12	1.0
16	28	1.0
16	39	1.0
16	40	1.0
16	41	1.0
16	51	1.0
16	59	1.0
16	63	1.0
16	64	1.0
16	89	1.0
16	92	1.0
16	100	1.0
16	114	1.0
16	125	1.0
16	474	1.0
16	995	1.0
16	1906	1.0
16	4195	1.0
16	7480	1.0
16	8079	1.0
17	0	2.0
17	1	1.0
17	2	1.0
17	3	1.0
17	5	1.0
17	6	1.0
17	8	1.0
17	10	1.0
17	11	1.0
17	12	1.0
17	25	1.0
17	34	1.0
17	35	1.0
17	50	1.0
17	75	1.0
17	80	1.0
17	93	1.0
17	99	1.0
17	103	1.0
17	125	1.0
17	373	1.0
17	401	1.0
17	434	1.0
17	3427	1.0
17	3477	1.0
17	4111	1.0
17	4516	1.0
17	4688	1.0
18	0	2.0
18	1	1.0
18	2	1.0
18	3	1.0
18	4	1.0
18	5	1.0
18	6	1.0
18	7	1.0
18	8	1.0
18	9	1.0
18	10	1.0
18	11	1.0
18	12	1.0
18	53	1.0
18	55	1.0
18	72	1.0
18	88	1.0
18	91	1.0
18	113	1.0
18	127	1.0
18	293	1.0
18	305	1.0
18	324	1.0
18	344	1.0
18	2904	1.0
18	5493	1.0
18	6538	1.0
18	7658	1.0
18	8354	1.0
19	0	1.0
19	1	1.0
19	2	1.0
19	3	1.0
19	4	1.0
19	5	1.0
19	6	1.0
19	8	1.0
19	10	1.0
19	12	1.0
19	13	1.0
19	24	1.0
19	34	1.0
19	35	1.0
19	50	1.0
19	53	1.0
19	72	1.0
19	80	1.0
19	91	1.0
19	99	1.0
19	103	1.0
19	125	1.0
19	293	1.0
19	344	1.0
19	401	1.0
19	3427	1.0
19	4111	1.0
19	4516	1.0
19	4688	1.0
19	5493	1.0
19	8354	1.0
20	0	1.0
20	1	1.0
20	3	1.0
20	4	1.0
20	5	1.0
20	7	1.0
20	9	1.0
20	11	1.0
20	13	1.0
20	22	1.0
20	29	1.0
20	30	1.0
20	31	1.0
20	49	1.0
20	55	1.0
20	107	1.0
20	127	1.0
20	153	1.0
20	240	1.0
20	336	1.0
20	6538	1.0
20	7658	1.0
20	9197	1.0
21	0	1.0
21	1	1.0
21	3	1.0
21	4	1.0
21	5	1.0
21	10	1.0
21	22	1.0
21	27	1.0
21	30	1.0
21	31	1.0
21	34	1.0
21	35	1.0
21	50	1.0
21	52	1.0
21	80	1.0
21	99	1.0
21	103	1.0
21	125	1.0
21	240	1.0
21	401	1.0
21	3427	1.0
21	4111	1.0
21	4516	1.0
21	4688	1.0
22	1	1.0
22	3	1.0
22	4	1.0
22	5	1.0
22	7	1.0
22	9	1.0
22	22	1.0
22	30	1.0
22	31	1.0
22	41	2.0
22	59	1.0
22	64	1.0
22	89	1.0
22	92	1.0
22	104	1.0
22	114	1.0
22	125	1.0
22	240	1.0
22	474	1.0
22	995	1.0
22	1906	1.0
22	7480	1.0
22	8079	1.0
23	1	1.0
23	3	1.0
23	4	1.0
23	5	1.0
23	7	1.0
23	9	1.0
23	14	1.0
23	22	1.0
23	30	1.0
23	31	1.0
23	41	1.0
23	48	1.0
23	59	1.0
23	67	1.0
23	70	1.0
23	89	1.0
23	150	1.0
23	211	1.0
23	240	1.0
23	274	1.0
23	484	1.0
23	857	1.0
23	2494	1.0
23	3142	1.0
24	0	1.0
24	1	1.0
24	3	1.0
24	4	1.0
24	5	1.0
24	10	1.0
24	16	2.0
24	22	1.0
24	30	1.0
24	31	1.0
24	32	1.0
24	33	1.0
24	49	1.0
24	66	1.0
24	223	1.0
24	240	1.0
24	292	1.0
24	302	1.0
24	924	1.0
24	1007	2.0
25	2	1.0
25	22	1.0
25	47	2.0
25	62	1.0
25	154	1.0
25	155	1.0
25	9531	1.0
26	0	1.0
26	2	1.0
26	6	1.0
26	8	1.0
26	11	1.0
26	12	1.0
26	26	1.0
26	38	2.0
26	62	1.0
26	151	1.0
26	152	1.0
26	156	1.0
26	197	1.0
26	301	1.0
26	9276	1.0
27	0	2.0
27	1	1.0
27	2	1.0
27	3	1.0
27	4	1.0
27	5	1.0
27	6	1.0
27	8	1.0
27	10	1.0
27	11	1.0
27	12	1.0
27	15	2.0
27	20	1.0
27	32	1.0
27	33	1.0
27	42	1.0
27	143	1.0
27	157	1.0
27	165	1.0
27	239	1.0
27	262	1.0
27	2444	1.0
27	2715	1.0
27	2916	1.0
27	3279	1.0
27	3355	1.0
28	0	2.0
28	1	1.0
28	2	1.0
28	3	1.0
28	4	1.0
28	5	1.0
28	6	1.0
28	7	1.0
28	9	1.0
28	10	1.0
28	11	1.0
28	14	1.0
28	17	1.0
28	18	1.0
28	19	1.0
28	26	1.0
28	37	1.0
28	110	1.0
28	118	1.0
28	120	1.0
28	144	1.0
28	145	1.0
28	200	1.0
28	247	1.0
28	1283	1.0
28	6478	1.0
28	7915	1.0
28	8416	1.0
29	0	1.0
29	1	1.0
29	2	1.0
29	3	1.0
29	4	1.0
29	5	1.0
29	6	1.0
29	10	1.0
29	13	1.0
29	15	2.0
29	18	1.0
29	19	1.0
29	20	1.0
29	24	1.0
29	26	1.0
29	32	1.0
29	33	1.0
29	120	1.0
29	143	1.0
29	144	1.0
29	145	1.0
29	262	1.0
29	2444	1.0
29	2715	1.0
29	2916	1.0
29	3279	1.0
29	3355	1.0
29	6478	1.0
29	7915	1.0
29	8416	1.0
30	0	1.0
30	1	1.0
30	2	1.0
30	4	1.0
30	7	1.0
30	8	1.0
30	9	1.0
30	11	1.0
30	12	1.0
30	13	1.0
30	14	1.0
30	17	1.0
30	20	1.0
30	28	1.0
30	29	1.0
30	39	1.0
30	40	1.0
30	45	1.0
30	54	1.0
30	73	1.0
30	106	1.0
30	116	1.0
30	133	1.0
30	134	1.0
30	247	1.0
30	413	1.0
30	1283	1.0
30	2602	1.0
30	7210	1.0
30	8335	1.0
31	0	2.0
31	1	1.0
31	2	1.0
31	3	1.0
31	5	1.0
31	6	1.0
31	10	1.0
31	11	1.0
31	17	1.0
31	18	1.0
31	19	1.0
31	25	1.0
31	34	1.0
31	35	1.0
31	36	1.0
31	46	1.0
31	51	1.0
31	81	1.0
31	83	1.0
31	96	1.0
31	121	1.0
31	129	1.0
31	140	1.0
31	281	1.0
31	2312	1.0
31	3514	1.0
31	3587	1.0
31	3902	1.0
32	1	1.0
32	2	1.0
32	3	1.0
32	4	1.0
32	5	1.0
32	6	1.0
32	7	1.0
32	9	1.0
32	13	2.0
32	14	1.0
32	17	1.0
32	18	1.0
32	19	1.0
32	20	1.0
32	24	1.0
32	29	1.0
32	51	1.0
32	73	1.0
32	83	1.0
32	116	1.0
32	129	1.0
32	133	1.0
32	247	1.0
32	281	1.0
32	1283	1.0
32	3514	1.0
32	3587	1.0
32	3902	1.0
32	7210	1.0
32	8335	1.0
33	0	1.0
33	1	1.0
33	2	1.0
33	3	1.0
33	4	1.0
33	5	1.0
33	6	1.0
33	10	1.0
33	15	2.0
33	18	1.0
33	19	1.0
33	20	1.0
33	32	1.0
33	33	1.0
33	41	1.0
33	51	1.0
33	83	1.0
33	104	1.0
33	129	1.0
33	143	1.0
33	262	1.0
33	281	1.0
33	2444	1.0
33	2715	1.0
33	2916	1.0
33	3279	1.0
33	3355	1.0
33	3514	1.0
33	3587	1.0
33	3902	1.0
34	0	1.0
34	1	1.0
34	2	1.0
34	4	1.0
34	7	1.0
34	8	1.0
34	9	1.0
34	11	1.0
34	12	1.0
34	14	1.0
34	17	1.0
34	28	1.0
34	39	1.0
34	40	1.0
34	41	1.0
34	50	1.0
34	51	1.0
34	67	1.0
34	89	1.0
34	101	1.0
34	108	1.0
34	119	1.0
34	247	1.0
34	377	1.0
34	1283	1.0
34	2575	1.0
34	2838	1.0
34	2958	1.0
34	8501	1.0
34	9237	1.0
35	0	2.0
35	1	1.0
35	2	1.0
35	3	1.0
35	5	1.0
35	6	1.0
35	8	1.0
35	10	1.0
35	11	1.0
35	12	1.0
35	25	1.0
35	34	1.0
35	35	1.0
35	42	1.0
35	50	1.0
35	55	1.0
35	65	1.0
35	66	1.0
35	74	1.0
35	95	1.0
35	114	1.0
35	239	1.0
35	878	1.0
35	899	1.0
35	1119	1.0
35	4834	1.0
35	6547	1.0
35	7746	1.0
36	1	1.0
36	2	1.0
36	3	1.0
36	4	1.0
36	5	1.0
36	6	1.0
36	7	1.0
36	8	1.0
36	9	1.0
36	12	1.0
36	13	1.0
36	14	1.0
36	17	1.0
36	24	1.0
36	41	1.0
36	42	1.0
36	50	1.0
36	67	1.0
36	74	1.0
36	89	1.0
36	95	1.0
36	108	1.0
36	239	1.0
36	247	1.0
36	377	1.0
36	1283	1.0
36	2575	1.0
36	2958	1.0
36	4834	1.0
36	6547	1.0
36	7746	1.0
37	0	1.0
37	1	1.0
37	2	1.0
37	3	1.0
37	4	1.0
37	5	1.0
37	6	1.0
37	7	1.0
37	9	1.0
37	11	1.0
37	13	1.0
37	29	1.0
37	37	1.0
37	53	1.0
37	55	1.0
37	68	1.0
37	82	1.0
37	87	1.0
37	94	1.0
37	114	1.0
37	164	1.0
37	196	1.0
37	200	1.0
37	357	1.0
37	878	1.0
37	899	1.0
37	2376	1.0
37	3556	1.0
37	8531	1.0
37	8895	1.0
38	0	2.0
38	1	1.0
38	2	1.0
38	4	1.0
38	7	1.0
38	8	1.0
38	9	1.0
38	10	1.0
38	11	1.0
38	12	1.0
38	28	1.0
38	42	1.0
38	49	1.0
38	56	1.0
38	60	1.0
38	77	1.0
38	78	1.0
38	105	1.0
38	124	1.0
38	162	1.0
38	215	1.0
38	229	1.0
38	344	1.0
38	379	1.0
38	420	1.0
38	1863	1.0
38	4198	1.0
38	4812	1.0
38	7020	1.0
39	0	2.0
39	1	1.0
39	2	1.0
39	3	1.0
39	5	1.0
39	6	1.0
39	8	1.0
39	10	1.0
39	11	1.0
39	12	1.0
39	25	1.0
39	37	1.0
39	48	1.0
39	53	1.0
39	64	1.0
39	71	1.0
39	100	1.0
39	102	1.0
39	122	1.0
39	176	1.0
39	230	1.0
39	240	1.0
39	260	1.0
39	359	1.0
39	364	1.0
39	451	1.0
39	5600	1.0
39	7347	1.0
39	7823	1.0
39	9104	1.0
40	0	1.0
40	1	1.0
40	2	1.0
40	3	1.0
40	4	1.0
40	5	1.0
40	6	1.0
40	7	1.0
40	8	1.0
40	9	1.0
40	10	1.0
40	12	1.0
40	13	1.0
40	24	1.0
40	49	1.0
40	53	1.0
40	56	1.0
40	60	1.0
40	78	1.0
40	100	1.0
40	102	1.0
40	124	1.0
40	229	1.0
40	240	1.0
40	260	1.0
40	359	1.0
40	420	1.0
40	1863	1.0
40	4198	1.0
40	4812	1.0
40	7347	1.0
41	0	1.0
41	1	1.0
41	2	1.0
41	3	1.0
41	4	1.0
41	5	1.0
41	6	1.0
41	7	1.0
41	8	1.0
41	9	1.0
41	11	1.0
41	12	1.0
41	13	1.0
41	29	1.0
41	47	1.0
41	48	1.0
41	49	1.0
41	70	1.0
41	80	1.0
41	84	1.0
41	93	1.0
41	122	1.0
41	249	1.0
41	250	1.0
41	306	1.0
41	451	1.0
41	3952	1.0
41	4511	1.0
41	4833	1.0
41	5600	1.0
42	0	1.0
42	1	1.0
42	2	1.0
42	3	1.0
42	4	1.0
42	5	1.0
42	6	1.0
42	7	1.0
42	8	1.0
42	9	1.0
42	10	1.0
42	12	1.0
42	27	1.0
42	47	1.0
42	49	1.0
42	52	1.0
42	56	1.0
42	60	1.0
42	78	1.0
42	84	1.0
42	93	1.0
42	124	1.0
42	229	1.0
42	250	1.0
42	420	1.0
42	1863	1.0
42	3952	1.0
42	4198	1.0
42	4511	1.0
42	4812	1.0
42	4833	1.0
43	1	1.0
43	2	1.0
43	3	1.0
43	4	1.0
43	5	1.0
43	6	1.0
43	7	1.0
43	8	1.0
43	9	1.0
43	12	1.0
43	13	1.0
43	29	1.0
43	37	1.0
43	41	1.0
43	47	1.0
43	55	1.0
43	68	1.0
43	82	1.0
43	84	1.0
43	93	1.0
43	104	1.0
43	114	1.0
43	200	1.0
43	250	1.0
43	878	1.0
43	899	1.0
43	2376	1.0
43	3556	1.0
43	3952	1.0
43	4511	1.0
43	4833	1.0
44	0	1.0
44	1	1.0
44	2	1.0
44	3	1.0
44	4	1.0
44	5	1.0
44	6	1.0
44	7	1.0
44	8	1.0
44	9	1.0
44	11	1.0
44	12	1.0
44	38	1.0
44	41	1.0
44	56	1.0
44	69	1.0
44	88	1.0
44	89	1.0
44	90	1.0
44	91	1.0
44	124	1.0
44	202	1.0
44	229	1.0
44	330	1.0
44	1863	1.0
44	2741	1.0
44	4953	1.0
44	5545	1.0
44	7285	1.0
45	0	2.0
45	1	1.0
45	2	1.0
45	3	1.0
45	4	1.0
45	5	1.0
45	6	1.0
45	7	1.0
45	9	1.0
45	10	1.0
45	11	1.0
45	15	1.0
45	26	1.0
45	47	1.0
45	54	1.0
45	76	1.0
45	85	1.0
45	107	1.0
45	115	1.0
45	130	1.0
45	208	1.0
45	1093	1.0
45	2455	1.0
45	2901	1.0
45	3105	1.0
45	4227	1.0
45	8763	1.0
46	1	1.0
46	2	1.0
46	3	1.0
46	4	1.0
46	5	1.0
46	6	1.0
46	7	1.0
46	9	1.0
46	13	1.0
46	24	1.0
46	26	1.0
46	38	1.0
46	41	1.0
46	47	1.0
46	54	1.0
46	56	1.0
46	69	1.0
46	85	1.0
46	88	1.0
46	89	1.0
46	115	1.0
46	124	1.0
46	229	1.0
46	330	1.0
46	1093	1.0
46	1863	1.0
46	2455	1.0
46	2901	1.0
46	3105	1.0
46	5545	1.0
46	7285	1.0
47	1	1.0
47	2	1.0
47	3	1.0
47	4	1.0
47	5	1.0
47	6	1.0
47	7	1.0
47	9	1.0
47	13	1.0
47	26	1.0
47	29	1.0
47	37	1.0
47	47	1.0
47	54	1.0
47	55	1.0
47	68	1.0
47	82	1.0
47	85	1.0
47	114	1.0
47	115	1.0
47	117	1.0
47	173	1.0
47	200	1.0
47	878	1.0
47	899	1.0
47	1093	1.0
47	2376	1.0
47	2455	1.0
47	2901	1.0
47	3105	1.0
47	3556	1.0
48	1	1.0
48	2	1.0
48	3	1.0
48	4	1.0
48	5	1.0
48	6	1.0
48	7	1.0
48	9	1.0
48	14	1.0
48	17	1.0
48	26	1.0
48	41	1.0
48	47	1.0
48	50	1.0
48	54	1.0
48	67	1.0
48	85	1.0
48	89	1.0
48	108	1.0
48	115	1.0
48	150	1.0
48	211	1.0
48	247	1.0
48	377	1.0
48	1093	1.0
48	1283	1.0
48	2455	1.0
48	2575	1.0
48	2901	1.0
48	2958	1.0
48	3105	1.0
49	0	1.0
49	1	1.0
49	2	1.0
49	4	1.0
49	7	1.0
49	9	1.0
49	11	1.0
49	18	1.0
49	19	1.0
49	20	1.0
49	28	1.0
49	38	1.0
49	42	1.0
49	46	1.0
49	55	1.0
49	61	1.0
49	97	1.0
49	98	1.0
49	112	1.0
49	114	1.0
49	123	1.0
49	150	1.0
49	194	1.0
49	878	1.0
49	899	1.0
49	1267	1.0
49	1786	1.0
49	2186	1.0
50	0	2.0
50	1	1.0
50	2	1.0
50	8	1.0
50	10	1.0
50	11	1.0
50	12	1.0
50	15	1.0
50	17	1.0
50	25	1.0
50	28	1.0
50	37	1.0
50	39	1.0
50	40	1.0
50	44	1.0
50	63	1.0
50	79	1.0
50	86	1.0
50	92	1.0
50	128	1.0
50	131	1.0
50	159	1.0
50	799	1.0
50	2697	1.0
50	4118	1.0
50	7848	1.0
50	8581	1.0
51	1	1.0
51	2	1.0
51	4	1.0
51	7	1.0
51	8	1.0
51	9	1.0
51	12	1.0
51	13	1.0
51	20	1.0
51	24	1.0
51	28	1.0
51	39	1.0
51	40	1.0
51	46	1.0
51	55	1.0
51	63	1.0
51	86	1.0
51	98	1.0
51	114	1.0
51	123	1.0
51	128	1.0
51	150	1.0
51	194	1.0
51	799	1.0
51	878	1.0
51	899	1.0
51	1267	1.0
51	1786	1.0
51	4118	1.0
51	7848	1.0
51	8581	1.0
52	0	1.0
52	1	1.0
52	2	1.0
52	3	1.0
52	5	1.0
52	6	1.0
52	8	1.0
52	11	1.0
52	12	1.0
52	13	1.0
52	17	1.0
52	25	1.0
52	29	1.0
52	34	1.0
52	35	1.0
52	44	1.0
52	59	1.0
52	75	1.0
52	99	1.0
52	135	1.0
52	139	1.0
52	159	1.0
52	163	1.0
52	385	1.0
52	527	1.0
52	978	1.0
52	2697	1.0
52	5584	1.0
52	7609	1.0
52	8510	1.0
52	9039	1.0
53	1	1.0
53	2	1.0
53	3	1.0
53	4	1.0
53	5	1.0
53	6	1.0
53	7	1.0
53	8	1.0
53	9	1.0
53	12	1.0
53	20	1.0
53	27	1.0
53	46	1.0
53	52	1.0
53	55	1.0
53	75	1.0
53	98	1.0
53	114	1.0
53	123	1.0
53	139	1.0
53	150	1.0
53	163	1.0
53	194	1.0
53	385	1.0
53	527	1.0
53	878	1.0
53	899	1.0
53	1267	1.0
53	1786	1.0
53	5584	1.0
53	8510	1.0
54	0	1.0
54	1	1.0
54	2	1.0
54	3	1.0
54	4	1.0
54	5	1.0
54	6	1.0
54	7	1.0
54	8	1.0
54	9	1.0
54	11	1.0
54	12	1.0
54	17	1.0
54	27	1.0
54	42	1.0
54	44	1.0
54	57	1.0
54	72	1.0
54	97	1.0
54	113	1.0
54	159	1.0
54	160	1.0
54	169	1.0
54	174	1.0
54	480	1.0
54	722	1.0
54	726	1.0
54	2697	1.0
54	6599	1.0
54	8949	1.0
55	1	1.0
55	2	1.0
55	3	1.0
55	4	1.0
55	5	1.0
55	6	1.0
55	7	1.0
55	8	1.0
55	9	1.0
55	12	1.0
55	20	1.0
55	41	1.0
55	42	1.0
55	46	1.0
55	55	1.0
55	72	1.0
55	97	1.0
55	98	1.0
55	104	1.0
55	114	1.0
55	123	1.0
55	150	1.0
55	169	1.0
55	194	1.0
55	722	1.0
55	726	1.0
55	878	1.0
55	899	1.0
55	1267	1.0
55	1786	1.0
55	6599	1.0
56	0	1.0
56	1	1.0
56	3	1.0
56	4	1.0
56	5	1.0
56	7	1.0
56	9	1.0
56	11	1.0
56	17	1.0
56	22	1.0
56	30	1.0
56	31	1.0
56	37	1.0
56	41	1.0
56	44	1.0
56	79	1.0
56	89	1.0
56	153	1.0
56	159	1.0
56	185	1.0
56	627	1.0
56	629	1.0
56	2697	1.0
56	2823	1.0
57	1	1.0
57	3	1.0
57	4	1.0
57	5	1.0
57	7	1.0
57	9	1.0
57	20	1.0
57	22	1.0
57	30	1.0
57	31	1.0
57	46	1.0
57	55	1.0
57	58	1.0
57	98	1.0
57	114	1.0
57	123	1.0
57	149	1.0
57	150	1.0
57	194	1.0
57	878	1.0
57	899	1.0
57	1267	1.0
57	1786	1.0
57	2823	1.0
58	1	1.0
58	3	1.0
58	4	1.0
58	5	1.0
58	7	1.0
58	9	1.0
58	14	1.0
58	17	1.0
58	22	1.0
58	30	1.0
58	31	1.0
58	41	1.0
58	50	1.0
58	67	1.0
58	89	1.0
58	108	1.0
58	245	1.0
58	247	1.0
58	340	1.0
58	377	1.0
58	1283	1.0
58	2575	1.0
58	2823	1.0
58	2958	1.0
59	0	1.0
59	1	1.0
59	3	1.0
59	4	1.0
59	5	1.0
59	10	1.0
59	15	2.0
59	20	1.0
59	22	1.0
59	30	1.0
59	31	1.0
59	32	1.0
59	33	1.0
59	143	1.0
59	262	1.0
59	322	1.0
59	362	1.0
59	2444	1.0
59	2715	1.0
59	2823	1.0
59	2916	1.0
59	3279	1.0
59	3355	1.0
60	2	1.0
60	22	1.0
60	47	1.0
60	62	1.0
60	154	1.0
60	155	1.0
60	326	1.0
60	328	1.0
61	0	1.0
61	2	1.0
61	6	1.0
61	8	1.0
61	11	1.0
61	12	1.0
61	38	1.0
61	62	1.0
61	151	1.0
61	152	1.0
61	156	1.0
61	164	1.0
61	197	1.0
61	277	1.0
61	294	1.0
61	295	1.0
61	5350	1.0
62	0	2.0
62	1	1.0
62	2	1.0
62	3	1.0
62	4	1.0
62	5	1.0
62	6	1.0
62	10	1.0
62	11	1.0
62	15	1.0
62	32	1.0
62	33	1.0
62	51	1.0
62	143	1.0
62	157	1.0
62	162	1.0
62	164	1.0
62	165	1.0
62	196	1.0
62	224	1.0
62	241	1.0
62	242	1.0
62	1400	1.0
62	1595	1.0
62	1622	1.0
62	1701	1.0
62	1779	1.0
62	8782	1.0
62	8907	1.0
63	0	2.0
63	1	1.0
63	2	1.0
63	4	1.0
63	7	1.0
63	8	1.0
63	9	1.0
63	10	1.0
63	11	1.0
63	12	1.0
63	14	1.0
63	28	1.0
63	47	1.0
63	50	1.0
63	110	1.0
63	118	1.0
63	120	1.0
63	145	1.0
63	162	1.0
63	176	1.0
63	215	1.0
63	253	1.0
63	974	1.0
63	5904	1.0
63	7963	1.0
63	8230	1.0
64	0	2.0
64	1	1.0
64	2	1.0
64	3	1.0
64	5	1.0
64	6	1.0
